url,depth,from,status,ctype,kind,title,years,text_len
http://www.pref.tochigi.lg.jp/g59/new_seika/byougaityuu.html,2,http://www.pref.tochigi.lg.jp/g59/boujo/boujotec.html,200,text/html,html,栃木県／最近の研究成果（病害虫）,2024|2023|2023|2022|2022|2020|2020|2019|2019|2018|2017|2016|2016|2011|2010|2010|2009|2007|2007|2007|2004|2004|2004|2002|2023|2022|2022|2021|2021|2021|2020|2020|2019|2018|2016|2015|2015|2015|2014|2012|2013|2012|2011|2011|2009|2009|2008|2006|2004|2004|2003|2002|2002|2002|2023|2021|2018|2017|2017|2017|2015|2014|2014|2012|2012|2012|2012|2011|2010|2007|2007|2007|2006|2006|2004|2004|2004|2004|2004|2002|2002|2001|2000|2024|2023|2009,4201
https://www.pref.tochigi.lg.jp/g59/documents/2025mugiseijuku0514.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2024|2025|2024,548
http://www.pref.tochigi.lg.jp/g59/boujo/documents/nirahushidani.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/boujotec.html,200,application/pdf,pdf,,2023,292
http://www.pref.tochigi.lg.jp/g59/boujo/documents/point09.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/boujotec.html,200,application/pdf,pdf,,2006|2006|1996,942
http://www.pref.tochigi.lg.jp/g59/boujo/documents/point11.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/boujotec.html,200,application/pdf,pdf,,2007|2007,494
http://www.pref.tochigi.lg.jp/g59/boujo/documents/point12.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/boujotec.html,200,application/pdf,pdf,,,5457
http://www.pref.tochigi.lg.jp/g59/boujo/tokusyuhoumatome.html,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,text/html,html,栃木県／過去の特殊報一覧,2025|2024|2023|2021|2020|2019|2018|2017|2016|2015|2014|2013|2012|2011|2010|2009|2008|2007|2006|2005|2004|2002|2001|2000|2024|2023|2009,3782
http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html#tmp_honbun,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,text/html,html,栃木県／病害虫発生予察情報,2025|2025|2025|2025|2023|2024|2024|2014|2024|2025|2025|2025|2025|2025|2025|2025|2025|2024|2023|2009,3776
http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html#tmp_wrapper,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,text/html,html,栃木県／病害虫発生予察情報,2025|2025|2025|2025|2023|2024|2024|2014|2024|2025|2025|2025|2025|2025|2025|2025|2025|2024|2023|2009,3776
https://www.pref.tochigi.lg.jp/g59/documents/20240327140532.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,1994|2000|2000|2003|2003|2008|2008|2011|2011|2012|2012|2024|2024,2127
https://www.pref.tochigi.lg.jp/g59/documents/2025-chabaneaokamemushi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2024|2025|2024|2024|2013|2013,1143
https://www.pref.tochigi.lg.jp/g59/documents/2025-ichigo-haiirokabi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025|2024|2024|2016|2010,976
https://www.pref.tochigi.lg.jp/g59/documents/2025-ichigo-wataaburamushi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025|2000,1079
https://www.pref.tochigi.lg.jp/g59/documents/2025-inekamemushi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025|2024|2022|2022,877
https://www.pref.tochigi.lg.jp/g59/documents/2025-tomato-haiirokabi.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025|2024|2024|2016|2024|2010|2024,999
https://www.pref.tochigi.lg.jp/g59/documents/20250807080621.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025,1451
https://www.pref.tochigi.lg.jp/g59/documents/2025ikuseihinsyu.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,,0
https://www.pref.tochigi.lg.jp/g59/documents/2025news10_1.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025,853
https://www.pref.tochigi.lg.jp/g59/documents/2025news11.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025,703
https://www.pref.tochigi.lg.jp/g59/documents/2025news12.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025,847
https://www.pref.tochigi.lg.jp/g59/documents/2025news13.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025,855
https://www.pref.tochigi.lg.jp/g59/documents/genkyou202507.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025|2025|2025|2015|2024|2024,3385
https://www.pref.tochigi.lg.jp/g59/documents/nashisyuukakukimitusyou20250730.pdf,1,https://www.pref.tochigi.lg.jp/g59/,200,application/pdf,pdf,,2025,1060
http://www.pref.tochigi.lg.jp/g59/boujo/documents/01_2025news03_1.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025,976
http://www.pref.tochigi.lg.jp/g59/boujo/documents/01_2025news05_1.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2017|2024,1004
http://www.pref.tochigi.lg.jp/g59/boujo/documents/01_2025news06.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2025|2025|2024|2025|2024|2025|2025|2024|2025|2025|2024|2016,1621
http://www.pref.tochigi.lg.jp/g59/boujo/documents/01_2025news07.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2025|2025|2003|2025|2024,1110
http://www.pref.tochigi.lg.jp/g59/boujo/documents/01_2025news08.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2015|2024|2021|2024|2019|2024,1214
http://www.pref.tochigi.lg.jp/g59/boujo/documents/01_2025news09.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2025,957
http://www.pref.tochigi.lg.jp/g59/boujo/documents/01_2025sokuhou01_1.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025,850
http://www.pref.tochigi.lg.jp/g59/boujo/documents/01_nikameiga2025.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2022|2025|2024|2025|2024|2025|2024|2025|2024,926
http://www.pref.tochigi.lg.jp/g59/boujo/documents/03_hosoherikamemushi2025.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2024|2016|2025|2024|2025|2024|2025|2024,873
http://www.pref.tochigi.lg.jp/g59/boujo/documents/04_hasumonyotou2025.pdf,2,http://www.pref.tochigi.lg.jp/g59/boujo/yosatsu.html,200,application/pdf,pdf,,2025|2024|2025|2024|2025|2024|2025|2024,993
